Code,"Continent, Region, Country",century,decade,year,height.cm,year_decade,height.in
208,Denmark,18,6,0,168.1,1860,66.18110236220473
208,Denmark,18,7,0,168.1,1870,66.18110236220473
208,Denmark,18,8,0,169.5,1880,66.73228346456693
208,Denmark,18,9,0,169.2,1890,66.61417322834646
208,Denmark,19,0,0,170.5,1900,67.1259842519685
208,Denmark,19,1,0,170,1910,66.92913385826772
208,Denmark,19,2,0,173.5,1920,68.30708661417323
208,Denmark,19,3,0,173.9,1930,68.46456692913387
208,Denmark,19,4,0,175.9,1940,69.25196850393701
208,Denmark,19,5,0,179.8,1950,70.78740157480316
208,Denmark,19,6,0,180.2,1960,70.94488188976378
208,Denmark,19,7,0,180.8,1970,71.18110236220473
208,Denmark,19,8,0,183.2,1980,72.1259842519685
233,Estonia,18,4,0,166.7,1840,65.62992125984252
233,Estonia,18,7,0,167.6,1870,65.98425196850394
233,Estonia,18,9,0,173.4,1890,68.26771653543307
233,Estonia,19,0,0,175.3,1900,69.01574803149607
233,Estonia,19,1,0,172,1910,67.71653543307087
233,Estonia,19,6,0,174.1,1960,68.54330708661418
233,Estonia,19,7,0,179.6,1970,70.70866141732284
233,Estonia,19,8,0,179.1,1980,70.51181102362204
246,Finland,18,1,0,171.9,1810,67.67716535433071
246,Finland,18,2,0,170.05,1820,66.9488188976378
246,Finland,18,3,0,169.5,1830,66.73228346456693
246,Finland,18,6,0,167.3,1860,65.86614173228347
246,Finland,19,0,0,167.3,1900,65.86614173228347
246,Finland,19,1,0,170.5,1910,67.1259842519685
246,Finland,19,2,0,172.3,1920,67.83464566929135
246,Finland,19,3,0,172.5,1930,67.91338582677166
246,Finland,19,4,0,174.8,1940,68.81889763779529
246,Finland,19,5,0,178,1950,70.07874015748031
246,Finland,19,6,0,179.3,1960,70.59055118110237
246,Finland,19,7,0,177.5,1970,69.88188976377953
246,Finland,19,8,0,178.2,1980,70.15748031496062
372,Ireland,18,1,0,168,1810,66.14173228346456
372,Ireland,18,2,0,165.4,1820,65.11811023622047
372,Ireland,18,3,0,168.1,1830,66.18110236220473
372,Ireland,18,4,0,160.9,1840,63.346456692913385
372,Ireland,18,7,0,168.45,1870,66.31889763779527
372,Ireland,18,8,0,168.7,1880,66.41732283464566
372,Ireland,18,9,0,169.1,1890,66.5748031496063
372,Ireland,19,0,0,170,1900,66.92913385826772
372,Ireland,19,2,0,171.919,1920,67.68464566929134
372,Ireland,19,3,0,173.253,1930,68.20984251968504
372,Ireland,19,5,0,174.9,1950,68.85826771653544
372,Ireland,19,6,0,175.8,1960,69.21259842519686
372,Ireland,19,7,0,176.4,1970,69.44881889763779
372,Ireland,19,8,0,176.6,1980,69.52755905511812
428,Latvia,18,4,0,166.5,1840,65.55118110236221
428,Latvia,18,8,0,170.6,1880,67.16535433070867
428,Latvia,18,9,0,171.7,1890,67.59842519685039
428,Latvia,19,0,0,171.4,1900,67.48031496062993
428,Latvia,19,4,0,174.211,1940,68.58700787401575
440,Lithuania,18,4,0,165.3,1840,65.07874015748031
440,Lithuania,19,4,0,173.725,1940,68.39566929133858
578,Norway,18,1,0,168.6,1810,66.37795275590551
578,Norway,18,2,0,167.5,1820,65.94488188976378
578,Norway,18,3,0,168.9,1830,66.49606299212599
578,Norway,18,4,0,168,1840,66.14173228346456
578,Norway,18,5,0,169.1,1850,66.5748031496063
578,Norway,18,6,0,169.7,1860,66.81102362204724
578,Norway,18,7,0,170.4,1870,67.08661417322834
578,Norway,18,8,0,171.1,1880,67.36220472440945
578,Norway,18,9,0,171.1,1890,67.36220472440945
578,Norway,19,0,0,172.03,1900,67.72834645669292
578,Norway,19,1,0,173.3,1910,68.22834645669292
578,Norway,19,2,0,176.25,1920,69.38976377952756
578,Norway,19,3,0,176.9,1930,69.64566929133859
578,Norway,19,4,0,177.5,1940,69.88188976377953
578,Norway,19,5,0,178.1,1950,70.11811023622047
578,Norway,19,6,0,179.3,1960,70.59055118110237
578,Norway,19,7,0,179.5,1970,70.66929133858268
578,Norway,19,8,0,179.7,1980,70.74803149606299
752,Sweden,18,3,0,168.1,1830,66.18110236220473
752,Sweden,18,4,0,167.9,1840,66.10236220472441
752,Sweden,18,5,0,168.4,1850,66.2992125984252
752,Sweden,18,6,0,169.3,1860,66.65354330708662
752,Sweden,18,7,0,170.3,1870,67.04724409448819
752,Sweden,18,8,0,171.2,1880,67.4015748031496
752,Sweden,18,9,0,172.4,1890,67.8740157480315
752,Sweden,19,0,0,172.8,1900,68.03149606299213
752,Sweden,19,1,0,173.2,1910,68.18897637795276
752,Sweden,19,2,0,168.3,1920,66.25984251968504
752,Sweden,19,3,0,175.5,1930,69.09448818897637
752,Sweden,19,4,0,178.5,1940,70.2755905511811
752,Sweden,19,5,0,179.3,1950,70.59055118110237
752,Sweden,19,6,0,180.1,1960,70.90551181102362
752,Sweden,19,7,0,180,1970,70.86614173228347
752,Sweden,19,8,0,180.4,1980,71.0236220472441
826,United Kingdom of Great Britain and Northern Ireland,18,1,0,169.7,1810,66.81102362204724
826,United Kingdom of Great Britain and Northern Ireland,18,2,0,169.1,1820,66.5748031496063
826,United Kingdom of Great Britain and Northern Ireland,18,3,0,166.7,1830,65.62992125984252
826,United Kingdom of Great Britain and Northern Ireland,18,4,0,166.5,1840,65.55118110236221
826,United Kingdom of Great Britain and Northern Ireland,18,5,0,165.6,1850,65.19685039370079
826,United Kingdom of Great Britain and Northern Ireland,18,6,0,166.6,1860,65.59055118110236
826,United Kingdom of Great Britain and Northern Ireland,18,7,0,167.15,1870,65.80708661417323
826,United Kingdom of Great Britain and Northern Ireland,18,8,0,167.95,1880,66.12204724409449
826,United Kingdom of Great Britain and Northern Ireland,18,9,0,167.4,1890,65.90551181102363
826,United Kingdom of Great Britain and Northern Ireland,19,0,0,169.367,1900,66.67992125984252
826,United Kingdom of Great Britain and Northern Ireland,19,1,0,170.866,1910,67.27007874015749
826,United Kingdom of Great Britain and Northern Ireland,19,2,0,171,1920,67.32283464566929
826,United Kingdom of Great Britain and Northern Ireland,19,3,0,173.87,1930,68.45275590551182
826,United Kingdom of Great Britain and Northern Ireland,19,4,0,174.9,1940,68.85826771653544
826,United Kingdom of Great Britain and Northern Ireland,19,5,0,176,1950,69.29133858267717
826,United Kingdom of Great Britain and Northern Ireland,19,6,0,176.9,1960,69.64566929133859
826,United Kingdom of Great Britain and Northern Ireland,19,7,0,177.1,1970,69.72440944881889
826,United Kingdom of Great Britain and Northern Ireland,19,8,0,176.83,1980,69.61811023622049
8,Albania,18,8,0,170.1,1880,66.96850393700787
8,Albania,18,9,0,169.8,1890,66.85039370078741
8,Albania,19,0,0,169.2,1900,66.61417322834646
191,Croatia,18,1,0,163.2,1810,64.25196850393701
191,Croatia,18,2,0,163.6,1820,64.40944881889763
191,Croatia,18,3,0,163.5,1830,64.37007874015748
191,Croatia,18,4,0,161.2,1840,63.46456692913385
191,Croatia,18,5,0,168.1,1850,66.18110236220473
191,Croatia,18,6,0,165.9,1860,65.31496062992126
191,Croatia,18,7,0,166.8,1870,65.66929133858268
191,Croatia,18,8,0,168.9,1880,66.49606299212599
191,Croatia,19,0,0,171.508,1900,67.5228346456693
191,Croatia,19,3,0,176.1,1930,69.33070866141732
191,Croatia,19,5,0,175.1,1950,68.93700787401575
191,Croatia,19,6,0,178.2,1960,70.15748031496062
300,Greece,18,7,0,168.5,1870,66.33858267716536
300,Greece,18,8,0,167.26,1880,65.8503937007874
300,Greece,19,0,0,169.6,1900,66.77165354330708
300,Greece,19,1,0,168.1,1910,66.18110236220473
300,Greece,19,2,0,168.4,1920,66.2992125984252
300,Greece,19,3,0,167.5,1930,65.94488188976378
